key,base_cer,dom_cer,delta,has_digit,ref,base_hyp,dom_hyp
AIHub_LowQualityPhoneVoice_valid__00006,30.0,13.333333333333334,-16.666666666666664,False,제가 지금 일 학년 거를 지금 수강 신청을 해야 되나요,그래서 그럼 일 학년 거를 지금 슈가융 신청을 해야 됐나요,제가 그럼 이 일 학년 거를 지금 수강 신청을 해야 되나요
AIHub_LowQualityPhoneVoice_valid__00012,41.66666666666667,37.5,-4.166666666666671,False,혹시 중도 요금 시작하는 과목이 다 계시나요,혹시 중정으로 생각하는 과목이 따로 계시잖아요,혹시 중단적으로 해약하는 과목이 따로 되시나요
AIHub_LowQualityPhoneVoice_valid__00018,0.0,0.0,0.0,False,예 알겠습니다,예 알겠습니다,예 알겠습니다
AIHub_LowQualityPhoneVoice_valid__00047,5.555555555555555,0.0,-5.555555555555555,False,아 네 그러면 지금은 안되는 거죠,아 네 그러면 지금은 안 되는 거죠,아 네 그러면 지금은 안되는 거죠
AIHub_LowQualityPhoneVoice_valid__00055,18.75,0.0,-18.75,False,아 그럼 학습 상담을 눌렀어요,아 그럼 학식 상담으로 눌렀어요,아 그럼 학습 상담을 눌렀어요
AIHub_LowQualityPhoneVoice_valid__00056,16.666666666666664,8.333333333333332,-8.333333333333332,False,네 학습 상담에서 이제,이 학교 상담에서 이제,네 학습 상단에서 이제
AIHub_LowQualityPhoneVoice_valid__00078,100.0,6.896551724137931,-93.10344827586206,False,잠시만 기다려 주세요 확인하고 안내 도와 드리겠습니다,네,잠시만 기다려주세요 확인하고 안내 도와드리겠습니다
AIHub_LowQualityPhoneVoice_valid__00089,0.0,0.0,0.0,False,뭐 이렇게 예를 들어서 잠시만요,뭐 이렇게 예를 들어서 잠시만요,뭐 이렇게 예를 들어서 잠시만요
AIHub_LowQualityPhoneVoice_valid__00103,22.22222222222222,0.0,-22.22222222222222,False,네 네 맞습니다 희망하시는 건가요,네 네 맞습니다 피마 마시는 건가요,네 네 맞습니다 희망하시는 건가요
AIHub_LowQualityPhoneVoice_valid__00160,21.62162162162162,5.405405405405405,-16.216216216216218,False,그럼 그날 제가 들었던 예외 처리해드렸습니다는 뭐가 되는 뭔 거예요,그럼 그날 제가 들었던 예외철이 해드렸습니다 뭐가 돼 먹은 거예요,그럼 그날 제가 들었던 예외 처리해드렸습니다는 뭐가 된 뭔 거예요
AIHub_LowQualityPhoneVoice_valid__00201,0.0,0.0,0.0,False,그럼 혹시 연락 안 그 어려운 시간대 있으신가요 혹시,그럼 혹시 연락 안 그 어려운 시간대 있으신가요 혹시,그럼 혹시 연락 안 그 어려운 시간대 있으신가요 혹시
AIHub_LowQualityPhoneVoice_valid__00216,13.636363636363635,6.0606060606060606,-7.575757575757574,False,일단은 인제 그 선택 그 집중이 그 때문에 아 선택과목 과탐이 이제 선택과목이 들어가는데 이제 과탐 관련해서 인제 조금,일단은 인제 그 선택 그 집중이 있었기 때문에 아 선택 과목 과탐이 인제 선택 과목이 들어가는데 인제 과탐 관련해서 인제 쪼끔,일단은 이제 그 선택 그 집중이 있을지 때문에 아 선택과목 과탐이 이제 선택과목이 들어가는데 이제 과탐 관련해서 인제 조금
AIHub_LowQualityPhoneVoice_valid__00231,5.88235294117647,0.0,-5.88235294117647,False,그럼 말씀해주신 내용 확인 도와드리겠습니다 잠시만 기다려주세요,그럼 말씀해주신 내용 확인 도와드리겠습니다 잠시만 기다려주시게요,그럼 말씀해주신 내용 확인 도와드리겠습니다 잠시만 기다려주세요
AIHub_LowQualityPhoneVoice_valid__00242,0.0,0.0,0.0,False,아 네 잠시만요,아 네 잠시만요,아 네 잠시만요
AIHub_LowQualityPhoneVoice_valid__00269,40.0,10.0,-30.0,False,아 왜 네 받았어요,아 네 네 반갑게요,아 네 네 받았어요
AIHub_LowQualityPhoneVoice_valid__00270,12.0,4.0,-8.0,False,아 네 이거 이거 이쪽으로 한 번 조회해보시고,아 네 이거 이거 이쪽으로 한번 정리해보시고,아 네 이거 이거 이쪽으로 한번 조회해보시고
AIHub_LowQualityPhoneVoice_valid__00281,19.35483870967742,22.58064516129032,3.2258064516129004,False,계정을 학 학생 회원으로 두셔야 돼요 카테고리가 두 개죠,개정을 학 학생형으로 주셔야 돼요 카테고리가 두 개,계정은 학생 회원으로 주셔야 돼요 카테고리가 두 개 이제
AIHub_LowQualityPhoneVoice_valid__00283,2.857142857142857,2.857142857142857,0.0,False,아 그래요 아 그러면 이제 이거 그러면 가능하다는 말씀이신 거죠,아 그래요 아 그러면 인제 이거 그러면 가능하다는 말씀이신 거죠,아 그래요 아 그러면 인제 이거 그러면 가능하다는 말씀이신 거죠
AIHub_LowQualityPhoneVoice_valid__00299,95.77464788732394,1.4084507042253522,-94.36619718309858,False,회원님 그러시면 이 부분 제가 정확하게 확인하고 다시 연락드릴 거고요 어 연락 받으실 번호 아 네 알겠습니다 확인하고 바로 연락,네 네 네,회원님 그러시면 이 부분 제가 정확하게 확인하고 다시 연락드릴 거고요 어 연락받으실 번호 아 네 알겠습니다 확인하고 바로 연락
AIHub_LowQualityPhoneVoice_valid__00304,7.142857142857142,7.142857142857142,0.0,False,아 네 알겠습니다 확인하고 바 다시 연락드리겠습니다,아 네 알겠습니다 확인하고 밥 다시 연락 드리겠습니다,아 네 알겠습니다 확인하고 다시 연락드리겠습니다
AIHub_LowQualityPhoneVoice_valid__00316,8.0,0.0,-8.0,False,강좌 같은 경우에도 지금 업로드된 강좌 한해서,강좌 같은 경우도 지금 업무드된 강좌 한해서,강좌 같은 경우에도 지금 업로드된 강좌 한해서
AIHub_LowQualityPhoneVoice_valid__00329,19.148936170212767,4.25531914893617,-14.893617021276597,False,그 계약 끝나셔서 이제 강의 없어지는 관련해서 통화했었는데 궁금한 게 있어서요 이구요,그 개학 끝나셔서 이제 강의 없어지는 거에 대해서 통화했었는데 궁금한 게 있었어요 이고요,그 계약 끝나셔서 이제 강의 없어지는 거 관련해서 통화했었는데 궁금한 게 있어서요 이구요
AIHub_LowQualityPhoneVoice_valid__00332,0.0,0.0,0.0,False,그거는 그 아 그면은 혹시 말씀하셨거든요,그거는 그 아 그면은 혹시 말씀하셨거든요,그거는 그 아 그면은 혹시 말씀하셨거든요
AIHub_LowQualityPhoneVoice_valid__00341,22.22222222222222,11.11111111111111,-11.11111111111111,False,계획대로 제가 좀 할라고 하거든요,계획도 제가 할라고 하거든요,계획도 제가 좀 할라고 하거든요
AIHub_LowQualityPhoneVoice_valid__00346,0.0,0.0,0.0,False,네 감사합니다 좋은 하루 되세요,네 감사합니다 좋은 하루 되세요,네 감사합니다 좋은 하루 되세요
AIHub_LowQualityPhoneVoice_valid__00351,10.16949152542373,3.389830508474576,-6.779661016949154,False,이 인제 저희가 너무 금액이 천차만별이라서 현금 금액을 안내해드리긴 어렵고 어 인제 그것도 기간이 있거든요,이 인제 저희가 너무 금액이 천창한 별이라서 삼금 금액을 안 내드리긴 어렵고 어 인제 그것도 기간이 있거든요,인제 저희가 너무 금액이 천차만별이라서 현금 금액을 안내해드리긴 어렵고 어 인제 그것도 기간이 있거든요
